id,tag
6,computer-vision
7,computer-vision
9,other
15,other
25,other
27,other
28,other
29,other
45,other
61,computer-vision
65,computer-vision
67,computer-vision
73,computer-vision
77,computer-vision
78,computer-vision
81,computer-vision
85,other
89,natural-language-processing
91,mlops
92,computer-vision
98,computer-vision
99,computer-vision
101,natural-language-processing
108,natural-language-processing
109,natural-language-processing
112,computer-vision
115,computer-vision
116,computer-vision
117,computer-vision
118,computer-vision
120,computer-vision
121,other
122,natural-language-processing
123,natural-language-processing
124,natural-language-processing
128,computer-vision
133,natural-language-processing
137,mlops
138,computer-vision
140,natural-language-processing
145,computer-vision
147,natural-language-processing
148,other
150,computer-vision
152,other
157,computer-vision
158,computer-vision
159,mlops
162,natural-language-processing
163,natural-language-processing
168,computer-vision
173,natural-language-processing
181,natural-language-processing
183,computer-vision
219,natural-language-processing
224,natural-language-processing
234,computer-vision
237,computer-vision
238,natural-language-processing
239,other
250,natural-language-processing
251,natural-language-processing
252,natural-language-processing
253,natural-language-processing
254,natural-language-processing
255,natural-language-processing
256,natural-language-processing
257,natural-language-processing
259,natural-language-processing
260,natural-language-processing
261,natural-language-processing
262,natural-language-processing
269,natural-language-processing
270,natural-language-processing
271,natural-language-processing
272,natural-language-processing
273,natural-language-processing
277,other
278,computer-vision
279,other
280,other
281,natural-language-processing
284,other
286,computer-vision
287,natural-language-processing
290,computer-vision
291,computer-vision
294,other
295,other
306,natural-language-processing
307,natural-language-processing
308,natural-language-processing
313,natural-language-processing
315,computer-vision
316,natural-language-processing
318,computer-vision
319,computer-vision
327,natural-language-processing
334,natural-language-processing
335,natural-language-processing
341,mlops
343,mlops
345,natural-language-processing
347,natural-language-processing
349,natural-language-processing
364,natural-language-processing
372,other
378,other
380,other
388,computer-vision
392,natural-language-processing
395,natural-language-processing
397,computer-vision
401,computer-vision
403,natural-language-processing
408,computer-vision
411,mlops
419,natural-language-processing
423,computer-vision
424,natural-language-processing
425,other
427,computer-vision
428,natural-language-processing
430,natural-language-processing
431,natural-language-processing
432,computer-vision
434,natural-language-processing
439,natural-language-processing
440,natural-language-processing
443,natural-language-processing
445,natural-language-processing
446,natural-language-processing
448,natural-language-processing
452,natural-language-processing
453,computer-vision
455,natural-language-processing
459,computer-vision
462,computer-vision
465,computer-vision
466,natural-language-processing
467,natural-language-processing
468,natural-language-processing
469,natural-language-processing
470,natural-language-processing
471,natural-language-processing
473,natural-language-processing
474,computer-vision
476,computer-vision
477,computer-vision
478,computer-vision
480,computer-vision
481,computer-vision
482,computer-vision
486,computer-vision
489,computer-vision
490,computer-vision
491,computer-vision
492,computer-vision
493,computer-vision
494,computer-vision
495,computer-vision
499,computer-vision
501,natural-language-processing
505,computer-vision
507,other
508,computer-vision
509,other
513,natural-language-processing
516,computer-vision
517,computer-vision
529,natural-language-processing
549,mlops
550,computer-vision
552,computer-vision
558,natural-language-processing
564,computer-vision
566,mlops
574,natural-language-processing
580,mlops
581,natural-language-processing
598,natural-language-processing
599,computer-vision
601,natural-language-processing
602,natural-language-processing
605,other
608,computer-vision
619,computer-vision
621,computer-vision
622,natural-language-processing
623,natural-language-processing
632,other
639,other
643,natural-language-processing
644,computer-vision
652,natural-language-processing
653,natural-language-processing
658,natural-language-processing
661,natural-language-processing
663,natural-language-processing
665,computer-vision
667,computer-vision
670,natural-language-processing
674,computer-vision
679,other
683,natural-language-processing
686,natural-language-processing
687,other
688,computer-vision
693,natural-language-processing
694,natural-language-processing
695,natural-language-processing
700,computer-vision
702,natural-language-processing
704,computer-vision
707,natural-language-processing
708,natural-language-processing
712,other
713,other
717,natural-language-processing
726,computer-vision
732,other
733,computer-vision
734,natural-language-processing
741,natural-language-processing
778,natural-language-processing
783,natural-language-processing
788,natural-language-processing
791,computer-vision
792,natural-language-processing
795,computer-vision
796,computer-vision
797,computer-vision
799,other
800,mlops
803,computer-vision
820,other
821,mlops
822,computer-vision
825,natural-language-processing
826,computer-vision
828,natural-language-processing
829,other
831,computer-vision
832,computer-vision
833,other
835,natural-language-processing
836,computer-vision
840,other
841,natural-language-processing
842,computer-vision
847,natural-language-processing
849,natural-language-processing
850,natural-language-processing
852,computer-vision
855,natural-language-processing
857,natural-language-processing
858,natural-language-processing
860,natural-language-processing
862,other
863,computer-vision
864,natural-language-processing
866,natural-language-processing
868,natural-language-processing
869,natural-language-processing
875,natural-language-processing
877,computer-vision
879,computer-vision
880,natural-language-processing
881,other
882,natural-language-processing
883,other
884,natural-language-processing
890,natural-language-processing
892,computer-vision
893,other
894,natural-language-processing
900,natural-language-processing
901,computer-vision
902,natural-language-processing
903,computer-vision
905,other
907,natural-language-processing
913,natural-language-processing
914,natural-language-processing
918,natural-language-processing
920,natural-language-processing
921,computer-vision
922,natural-language-processing
925,other
927,natural-language-processing
934,other
935,computer-vision
938,computer-vision
939,other
940,computer-vision
941,computer-vision
947,computer-vision
948,computer-vision
951,computer-vision
952,computer-vision
957,natural-language-processing
961,computer-vision
962,natural-language-processing
963,mlops
966,natural-language-processing
968,natural-language-processing
970,natural-language-processing
972,natural-language-processing
974,computer-vision
978,computer-vision
979,other
980,computer-vision
986,computer-vision
987,natural-language-processing
989,natural-language-processing
993,computer-vision
997,computer-vision
1000,natural-language-processing
1007,natural-language-processing
1008,computer-vision
1009,natural-language-processing
1010,natural-language-processing
1013,other
1018,computer-vision
1020,computer-vision
1021,natural-language-processing
1022,natural-language-processing
1024,natural-language-processing
1025,natural-language-processing
1026,natural-language-processing
1028,natural-language-processing
1035,natural-language-processing
1045,natural-language-processing
1046,natural-language-processing
1055,computer-vision
1058,natural-language-processing
1059,computer-vision
1068,natural-language-processing
1069,natural-language-processing
1070,natural-language-processing
1075,natural-language-processing
1080,computer-vision
1081,computer-vision
1083,computer-vision
1084,mlops
1093,computer-vision
1094,natural-language-processing
1100,natural-language-processing
1104,computer-vision
1107,computer-vision
1110,computer-vision
1111,natural-language-processing
